,豆瓣评分,豆瓣投票人数,IMDB评分,IMDB投票人数,类别,产地,年代
605,6.3,53532,6.8,55466,动作-冒险,美国,2018
606,6.4,666,6.5,10351,喜剧,美国,2018
607,5.7,170,6.5,6545,剧情-犯罪,美国,2018
608,6.8,902,6.5,16689,动作-犯罪-惊悚,美国-英国,2018
609,6.5,529,5.9,2102,剧情-喜剧-爱情-同性,美国,2016
610,6.6,1734,7.4,16405,剧情-爱情-犯罪,美国,2018
611,6.7,5065,7.2,45187,剧情-喜剧-传记-历史,美国,2018
612,6.7,134636,7.7,243346,动作-科幻-冒险,美国,2018
613,6.7,147,6.8,1456,悬疑-惊悚-恐怖,美国,2018
614,7.0,368,6.5,10989,动作-惊悚-犯罪,美国,2018
615,7.0,934,6.7,9066,爱情-灾难,美国,2018
616,7.1,3757,7.2,24295,剧情-喜剧-传记-犯罪,美国,2018
617,7.2,1234,7.5,8456,剧情-喜剧,美国,2018
618,7.3,1185,6.4,1323,剧情-传记-历史,英国-比利时-意大利-德国,2018
619,7.3,99,7.2,2144,剧情-动作-犯罪,美国,2018
620,7.4,1510,7.3,33820,喜剧-犯罪-悬疑,美国,2018
621,7.5,588,7.2,12511,喜剧-奇幻,美国,2018
622,7.6,5915,7.6,59895,剧情-传记-历史,美国,2018
623,7.6,5501,6.7,7765,喜剧-动画-歌舞-奇幻,美国,2018
624,7.6,196,5.5,242,恐怖,美国,2018
625,7.6,5123,7.6,48829,悬疑-恐怖,美国,2018
626,7.6,98,7.0,921,剧情-同性,美国,2018
627,7.7,352,7.2,5674,剧情-喜剧-犯罪,美国,2018
628,7.7,2515,7.5,20758,剧情-喜剧,美国,2018
629,7.9,4115,7.0,9015,剧情-犯罪,美国,2018
630,7.9,690,7.3,7925,剧情-喜剧,美国,2018
631,7.9,1410,7.1,25271,剧情-悬疑-惊悚-犯罪,美国,2018
632,8.1,309,7.6,132,喜剧,美国,2018
633,8.2,339047,8.7,408002,动作-科幻-奇幻-冒险,美国,2018
634,8.2,251,7.5,4072,喜剧,美国,2018
635,5.2,279,5.0,7780,剧情-惊悚-历史,美国,2018
636,5.9,68,5.7,697,剧情-喜剧-西部,美国,2018
637,5.3,145,4.9,3403,动作-犯罪-灾难,美国,2018
638,5.9,359,5.6,16260,喜剧,美国,2018
639,4.2,246,3.7,12654,喜剧-悬疑-犯罪,美国,2018
640,5.6,166,5.4,5836,喜剧,美国,2018
641,5.6,400,5.3,368,喜剧-同性,美国,2018
642,4.5,145,3.5,572,恐怖,美国,2017
643,5.0,69,4.3,1260,恐怖,美国,2018
644,3.7,429,3.0,8069,恐怖,美国,2018
645,4.3,115,4.5,1106,惊悚,美国,2018
646,5.3,2791,4.4,19348,剧情-爱情-情色,美国,2018
647,4.6,142,4.2,59,科幻,英国,2018
648,5.4,71,5.0,2069,剧情-科幻,美国,2018
649,3.3,305,3.1,1310,科幻,美国,2018
650,6.8,1716,7.3,2920,剧情-惊悚-犯罪,英国,2018
651,5.7,193,5.7,5885,剧情-动作-犯罪,英国,2018
652,5.2,219,6.0,24,喜剧-科幻,韩国,2018
653,6.1,82,6.4,12,剧情-喜剧-历史-爱情,韩国,2018
654,6.6,5398,6.6,119,惊悚-恐怖,韩国,2018
655,7.1,8544,6.8,391,剧情-爱情,韩国,2018
656,4.1,421,7.1,49,爱情-惊悚,韩国-中国大陆,2018
657,8.3,5804,8.0,330,剧情-悬疑,韩国,2018
658,5.7,729,5.7,18,动作-悬疑,韩国,2018
659,5.4,92,5.7,9,剧情-喜剧,韩国,2018
660,6.6,3026,6.3,142,剧情-同性,香港,2018
661,6.4,359279,5.7,476,喜剧-科幻,中国大陆,2019
662,6.8,7303,6.5,2523,冒险,美国,2019
663,6.1,343,6.0,4761,惊悚-恐怖,香港-美国,2019
664,6.7,25749,6.4,15714,悬疑-惊悚-恐怖,美国,2019
