,IMDB,url,产地,年代,片名,类别,译名,豆瓣
1773,,https://www.dy2018.com/i/98063.html,中国大陆,2017,超级大山炮之夺宝奇兵,剧情/喜剧,超级大山炮之夺宝奇兵/RAIDERSOFTHELOSTARK,
1774,"5.0,10,14",https://www.dy2018.com/i/98147.html,,2017,What A Wonderful Family,剧情/喜剧/家庭,麻烦家族,"4.7,10,5015"
1775,,https://www.dy2018.com/i/98062.html,中国大陆,2014,黑白照相馆,喜剧,世外桃源,
1776,"6.3,10,15",https://www.dy2018.com/i/98369.html,中国大陆/香港,2017,鲛珠传,喜剧/动作/爱情/奇幻,LegendoftheNagaPearls,"4.8,10,9004"
1777,,https://www.dy2018.com/i/98908.html,中国大陆,2017,七月半3：灵触第七感,恐怖,七月半3/灵触第七感/七月半之灵触第七感,
1778,"5.0,10,106",https://www.dy2018.com/i/99117.html,中国香港,2017,Zombiology: Enjoy Yourself Tonight,喜剧/恐怖,今晚打丧尸,"4.5,10,161"
1779,,https://www.dy2018.com/i/98816.html,中国大陆/泰国/马来西亚,2017,怨灵2,悬疑/惊悚/恐怖,HauntedRoad2,"4.3,10,502"
1780,"4.9,10,32",https://www.dy2018.com/i/98684.html,,2017,惊悚小说,,禁闭者/Inside/Inside: A Chinese Horror Story,"3.0,10,193"
1781,,https://www.dy2018.com/i/98183.html,中国大陆,2017,碟仙之毕业照,惊悚/恐怖,碟仙之恐怖毕业照,"2.1,10,467"
1782,,https://www.dy2018.com/i/98360.html,中国大陆,2017,荒野加油站,悬疑/恐怖,,
1783,,https://www.dy2018.com/i/97959.html,,2017,诡眼,惊悚/恐怖,隔墙有眼,
1784,,https://www.dy2018.com/i/97877.html,,2017,通灵姐妹,惊悚/恐怖,HauntedSisters,"2.9,10,322"
1785,,https://www.dy2018.com/i/98404.html,中国大陆,2017,夜色撩人,剧情/犯罪/悬疑,月色撩人,"4.9,10,1554"
1786,"6.8,10,13",https://www.dy2018.com/i/98036.html,中国大陆/台湾/韩国,2017,神秘家族,剧情/犯罪/悬疑,台东女中之传奇鼎东客运女孩,"5.4,10,3189"
1787,,https://www.dy2018.com/i/98654.html,,2017,谜证,,In the Fog,
1788,,https://www.dy2018.com/i/98231.html,中国大陆,2017,午夜惊魂路,惊悚/恐怖,恐怖禁忌之回头路,
1789,,https://www.dy2018.com/i/98245.html,香港,2017,生化药尸,喜剧/动作/惊悚,天师救僵,
1790,,https://www.dy2018.com/i/98980.html,中国大陆,2017,纹身师,爱情/悬疑/惊悚,TheTattooist,"3.6,10,31"
1791,,https://www.dy2018.com/i/97828.html,,2017,,爱情/惊悚,血伞凶灵,
1792,,https://www.dy2018.com/i/98440.html,中国,2017,请勿靠近,悬疑/惊悚,Please Keep Away,
1793,,https://www.dy2018.com/i/98470.html,中国大陆,2017,三缺一,剧情/爱情,TheMajhongBox,
1794,,https://www.dy2018.com/i/98454.html,,2017,二次初恋,,2次初恋/Once Again,"4.5,10,949"
1795,,https://www.dy2018.com/i/98539.html,中国大陆,2017,会痛的十七岁,爱情,会疼的十七岁/会痛的17岁,"3.0,10,653"
1796,,https://www.dy2018.com/i/98060.html,中国大陆,2017,傲娇与偏见,喜剧/爱情,Mr.PridevsMissPrejudice,"5.3,10,9625"
1797,,https://www.dy2018.com/i/97857.html,,2017,合约男女,喜剧/爱情,婚前合约,"5.1,10,2696"
1798,,https://www.dy2018.com/i/98618.html,,2017,情遇曼哈顿,,情遇百老汇/Love is a Broadway Hit,"4.2,10,1511"
1799,,https://www.dy2018.com/i/99231.html,中国大陆/台湾,2017,毕业旅行笑翻天,剧情/喜剧/爱情,毕业旅行/Graduation Journey,
1800,,https://www.dy2018.com/i/97915.html,,2017,爱情对赌,剧情/爱情,,
1801,,https://www.dy2018.com/i/98469.html,中国大陆,2017,租婚男女,剧情/喜剧/爱情,RentMarriageBetweenManAndWoman,"2.0,10,15"
1802,,https://www.dy2018.com/i/99160.html,中国,2017,蝴蝶公墓,爱情/奇幻,On Fallen Wings,"3.0,10,525"
1803,"4.6,10,1071",https://www.dy2018.com/i/98985.html,英国,2018,The Beyond,科幻/恐怖,穿越,
1804,"5.4,10,2346",https://www.dy2018.com/i/99741.html,德国,2017,该死的歌德3 Fack ju Göhte 3,剧情/喜剧,"不良鲜师3(台)/要命教书匠3/F*ck You, Goethe 3/Suck Me Shakespeer 3","6.6,10,99"
1805,"5.7,10,11",https://www.dy2018.com/i/98189.html,新加坡 Singapore,2017,Take 2,剧情/喜剧,遇见贵人,
1806,"6.0,10,11",https://www.dy2018.com/i/99342.html,日本/古巴,2017,埃内斯托 エルネスト,剧情/传记/历史,Ernesto,
1807,"7.5,10,25",https://www.dy2018.com/i/98927.html,日本,2017,兄に�郅丹欷工�て困ってます,剧情/喜剧,哥哥太爱我了怎么办,"6.1,10,8795"
1808,"6.2,10,22",https://www.dy2018.com/i/98398.html,日本,2017,P与JK PとJK,喜剧/爱情,警察和我/警察与女子高生/Policeman and Me,"5.4,10,839"
1809,"6.7,10,93",https://www.dy2018.com/i/98859.html,日本,2017,不干了，我开除了黑心公司 ちょっと今から仕事やめてくる,喜剧,不干了！我开除了黑心公司(台)/受够了！我要炒老细(港)/To Each His Own,"6.3,10,796"
